"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bhutan","BTN","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","1.4138075314","","","",
"Botswana","BWA","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0.9411272613","0.9754261215","1.0097249817","1.0440238419","1.0783227021","1.1126215623","1.1471295619","1.1816375614","1.2876015197","1.3935654781","1.4995294364","1.6053539684","1.7111785005","1.8170030325","1.9228275646","2.0286520966","2.0316941241","2.0347361516","2.0377781792","2.0408202067","2.0438622342","2.0469042617","2.0499462892","2.0529883167","2.0560303442","2.0590723717","2.0621143992","2.0328348845","1.9988497333","1.9648645822","1.9648645822","2.1049879745","2.0181951271","2.1332217923","2.1123078532","2.3050047056","2.4429729164","","","",
"Central African Republic","CAF","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0898148148","0.1064814815","0.1231481481","0.1398148148","0.1564814815","0.1731481481","0.1898148148","0.2064814815","0.2231481481","0.2398148148","0.2564814815","0.2731481481","0.2898148148","0.3064814815","0.3123148148","0.3181481481","0.3239814815","0.3298148148","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","0.3356481481","","","",
"Canada","CAN","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3460350154","4.4055818744","4.4651287333","4.5246755922","4.5842224511","4.64376931","4.5844490216","4.5251287333","4.4658084449","4.4064881565","4.3471678682","4.3388006741","4.33043348","4.3220662859","4.3136990918","4.3053318978","4.2969647037","4.2885975096","4.2802303155","4.2718631214","4.2634959273","4.2551287333","4.1253656025","3.9956024717","3.8309629248","3.666323378","3.7528321318","3.8393408857","3.7595262616","3.6797116375","3.7066426365","3.7335736354","3.7335736354","3.7335736354","3.7335736354","3.7335736354","","","",
"Central Europe and the Baltics","CEB","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","9.9084668192","9.9016018307","9.8947368421","9.8878718535","9.881006865","9.8741418764","9.9176201373","9.9610983982","10.004576659","10.0480549199","10.0915331808","10.1182303585","10.1449275362","10.171624714","10.1983218917","10.2250190694","10.2517162471","10.2784134249","10.1739893211","10.0695652174","9.9651411137","9.8607170099","9.7562929062","9.7257055683","9.6951182304","9.6645308924","9.6339435545","9.6033562166","9.4075133486","9.2116704805","9.0158276125","8.8199847445","8.6241418764","8.4282990084","8.2324561404","8.0366132723","7.8407704043","7.6277650648","6.5598779558","6.4988558352","6.5061670481","6.4988558352","6.4988558352","6.4988558352","6.4988558352","6.4988558352","6.4988558352","","","",
"Channel Islands","CHI","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1516659894","5.4262567481","5.7009490915","5.9755906426","6.2502321936","6.5248737447","6.7995152958","7.0741568468","7.3487983979","7.6221764889","7.89555458","8.1599741685","8.4333459105","8.7067176525","8.9800893946","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","8.982121089","","","",
"China","CHN","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","32.405311053","33.0175209243","33.6297307956","34.2419406669","34.8541505383","35.1338718394","35.4105257008","35.6871795621","35.9638334234","36.2404872847","36.5171411461","37.1354980695","37.7538549929","38.3722119163","38.6382653732","38.9043188301","39.170372287","39.436425744","39.7024792009","39.9685326578","40.2345861147","40.2813280554","40.3280699961","40.3748119367","40.4215538774","40.4682958181","41.4834723419","41.5345963395","42.0750500285","42.5935934328","42.8587078775","43.4553979638","43.7329282365","44.0250653657","43.3385431121","43.2216882605","44.1141671901","43.5444997882","43.3027563138","43.9754020537","41.5185287974","41.5185287974","","","",
"Cote d'Ivoire","CIV","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1042031524","3.6748394629","4.2454757735","4.8161120841","4.9605954466","5.1050788091","5.2495621716","5.3940455342","5.5230589609","5.6520723876","5.7810858144","5.9100992411","6.0391126678","6.1681260946","6.2910683012","6.4140105079","6.5369527145","6.6598949212","6.7828371278","6.594473633","6.4015372641","6.2108873322","6.0236670558","5.8364467795","5.6492265032","5.4642926639","5.2759291691","5.0875656743","5.0875656743","5.0875656743","5.0875656743","5.0875656743","5.0875656743","5.0875656743","5.0875656743","","","",
"Cameroon","CMR","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5677419355","0.5688888889","0.5700358423","0.5711827957","0.5723297491","0.5734767025","0.6749820789","0.7764874552","0.8779928315","0.9794982079","1.0810035842","1.1825089606","1.2840143369","1.3855197133","1.4205017921","1.455483871","1.4904659498","1.5254480287","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","1.5604301075","","","",
"Congo, Dem. Rep.","COD","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1580152672","0.1651842018","0.1723531364","0.179522071","0.1866910056","0.1938599403","0.2004646532","0.2070693661","0.213674079","0.2202787919","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","0.2268835048","","","",
"Congo, Rep.","COG","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0238663484","0.0241050119","0.0243436754","0.0245823389","0.0248210024","0.0250596659","0.0252983294","0.0255369928","0.0257756563","0.0260143198","0.0262529833","0.0264916468","0.0267303103","0.0269689737","0.0272076372","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","0.0274463007","","","",
